S.No.,Question Text,Options,Answer,Explanation,Subject
1,"Consider the following statements:

1. Jhelum River passes through Wular Lake.

2. Krishna River directly feeds Kolleru Lake.

3. Meandering of Gandak River formed Kanwar Lake. 

How many of the statements given above are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",A,"The direct answer: The correct answer is (a) because only Statement 1 is correct.
Statement 1 is correct: The Jhelum River rises from a spring at Verinag, flows through the Kashmir Valley, and passes through the Wular Lake before entering Pakistan. Wular Lake is one of the largest freshwater lakes in Asia, formed primarily by tectonic activity, and it acts as a natural flood reservoir for the Jhelum river.
Statement 2 is incorrect: Kolleru Lake is one of the largest freshwater lakes in India, located in Andhra Pradesh between the deltas of the Krishna and Godavari rivers. However, it is not directly fed by the Krishna River. Instead, it receives its water from seasonal streams like the Budameru and Tammileru.
Statement 3 is incorrect: Kanwar Lake (Kabar Taal) in Bihar is Asia's largest freshwater oxbow lake and a designated Ramsar site. It was formed by the meandering of the Burhi Gandak River, not the main Gandak River.
UPSC Relevance: The UPSC frequently tests the geographical locations of major wetlands, their forming agents (e.g., oxbow lakes formed by meandering rivers), and the exact river systems associated with them.",geography
2,"Consider the following pairs: | Port | Well known as |
| 1. Kamarajar Port | First major port in India
registered as a company | | 2. Mundra Port | Largest privately owned
port in India | | 3. Visakhapatnam Port | Largest container port in
India | 

How many of the above pairs are correctly matched?","(a) Only one pair
(b) Only two pairs
(c) All three pairs
(d) None of the pairs",B,"The direct answer: The correct answer is (b) as only two pairs (Pair 1 and Pair 2) are correctly matched.
Pair 1 is correctly matched: Kamarajar Port, formerly known as Ennore Port (located near Chennai), is the first major port in India registered as a public company under the Companies Act. Unlike other major ports governed by the Major Port Trusts Act, it is a corporatized entity.
Pair 2 is correctly matched: Mundra Port, located in the Kutch district of Gujarat, is India's largest private port. It is owned and operated by Adani Ports and Special Economic Zone Limited (APSEZ). It is also the largest commercial port by cargo volume in India.
Pair 3 is incorrectly matched: While Visakhapatnam is a crucial major port on the east coast known for handling bulk cargo like iron ore, it is not the largest container port. The Jawaharlal Nehru Port Trust (JNPT) in Navi Mumbai, Maharashtra, is the largest container port in India.
UPSC Relevance: Economic geography questions frequently target the unique distinguishing features of India's major and minor ports, their administrative setup (trust vs. corporate), and cargo specialties.",geography
3,"Consider the following trees :

1. Jackfruit (Artocarpus heterophyllus)

2. Mahua (Madhuca indica)

3. Teak (Tectona grandis) 

How many of the above are deciduous trees?","(a) Only one
(b) Only two
(c) All three
(d) None",B,"The direct answer: The correct answer is (b) as exactly two of the listed trees (Mahua and Teak) are deciduous.
Jackfruit is Evergreen: Jackfruit (Artocarpus heterophyllus) is a tropical evergreen tree native to the Western Ghats of India and the rainforests of Southeast Asia. It thrives in humid environments and retains its broad leaves year-round.
Mahua is Deciduous: Mahua (Madhuca indica) is a prominent fast-growing deciduous tree. It is widely found in the dry deciduous forests of central and northern India and is highly valued by tribal communities for its economic and cultural significance (flowers and seeds).
Teak is Deciduous: Teak (Tectona grandis) is a quintessential moist deciduous tree, renowned globally for its high-quality, durable timber. It adapts to the dry season by shedding its foliage to conserve water.
UPSC Relevance: Identifying flora based on specific forest types (Tropical Evergreen vs. Tropical Deciduous) and understanding their adaptations to dry seasons is a fundamental and frequently tested part of the Geography and Environment syllabus.",geography
4,"Consider the following statements:

1. India has more arable area than China.

2. The proportion of irrigated area is more in India as compared to China.

3. The average productivity per hectare in Indian agriculture is higher than that in China. 

How many of the above statements are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",A,"The direct answer: The correct answer is (a) because only Statement 1 is correct.
Statement 1 is correct: Despite China having a significantly larger overall landmass, India possesses a larger arable (cultivable) land area. India's arable land is roughly 156 million hectares, whereas China's is around 120 million hectares. This is largely because western and northern China are dominated by uninhabitable mountains and deserts.
Statement 2 is incorrect: While India has a massive area under irrigation in absolute numbers, the proportion of irrigated area relative to the total arable land is significantly higher in China. China has heavily optimized its limited arable land through extensive and intensive irrigation networks.
Statement 3 is incorrect: The average agricultural productivity per hectare in India is lower than that of China. China utilizes highly intensive farming techniques, superior high-yielding seed varieties, and heavy fertilizer application to achieve massive yields for staple crops like rice and wheat compared to Indian averages.
UPSC Relevance: Agriculture forms a core pillar of the Indian Economy syllabus. Aspirants must be aware of comparative macro-agricultural indicators between India and other major agrarian economies.",geography
5,"Which one of the following is the best example of repeated falls in
sea level, giving rise to present-day extensive marshland?","(a) Bhitarkanika Mangroves
(b) Marakkanam Salt Pans
(c) Naupada Swamp
(d) Rann of Kutch",D,"The direct answer: The correct answer is (d), the Rann of Kutch.
Geological Context: The Rann of Kutch in Gujarat is a vast salt marsh located in the Thar Desert biome. Geologically, it was once a shallow arm or gulf of the Arabian Sea. Due to repeated tectonic uplifts and progressive falls in the sea level over millennia, the region was permanently disconnected from the ocean. The trapped marine water eventually evaporated, leaving behind an extensive marshland covered with a thick salt crust.
Why other options are wrong:
Bhitarkanika Mangroves: Formed primarily by the estuarine network of the Brahmani, Baitarani, and Dhamra rivers in Odisha. It is a riverine deltaic formation, not a product of large-scale repeated sea-level regressions.
Marakkanam Salt Pans: Located in Tamil Nadu, these are essentially commercial salt extraction sites and do not represent a massive geological event of sea-level fall defining an entire geographic region.
Naupada Swamp: Found in Andhra Pradesh, it is a significant coastal wetland but does not exemplify the massive landscape-altering sea-level regression characteristic of the Rann.
UPSC Relevance: Questions linking contemporary topography to ancient geological events (like tectonic shifts, continental drift, or sea-level changes) are a staple in Physical Geography.",geography
6,"Ilmenite and rutile, abundantly available in certain coastal tracts
of India, are rich sources of which one of the following?","(a) Aluminium
(b) Copper
(c) Iron
(d) Titanium",D,"The direct answer: The correct answer is (d), Titanium.
Core Concept: Ilmenite (\) and Rutile (\) are the primary minerals and commercial sources of Titanium .
Geographical Distribution in India: These minerals are predominantly found in the beach placer sands (heavy mineral sands) along the coastal stretches of Kerala (Chavara coast), Tamil Nadu (Manavalakurichi), Odisha (Ganjam), and Andhra Pradesh.
Significance of Titanium: Titanium is prized for its high strength-to-weight ratio and excellent corrosion resistance. It is critical for the aerospace industry, military applications, surgical implants, and primarily for manufacturing Titanium dioxide (\), a widely used white pigment in paints, plastics, and paper.
Why other options are wrong: The primary ore for Aluminium is Bauxite; for Copper, it is Chalcopyrite; and for Iron, the major ores are Hematite and Magnetite.",geography
7,"About three-fourths of world's cobalt, a metal required for the
manufacture of batteries for electric motor vehicles, is produced by","(a) Argentina
(b) Botswana
(c) the Democratic Republic of the Congo
(d) Kazakhstan",C,"The direct answer: The correct answer is (c), the Democratic Republic of the Congo (DRC).
Global Cobalt Production: The Democratic Republic of the Congo completely dominates global cobalt production, accounting for over 70% (nearly three-fourths) of the world's supply .
Strategic Importance: Cobalt is a critical raw material for manufacturing lithium-ion batteries, which power the booming electric vehicle (EV) industry, smartphones, and renewable energy storage systems. It prevents battery overheating and extends life cycles.
Geopolitical & Ethical Context: The reliance on DRC for cobalt is a major concern in global supply chains due to widespread issues of artisanal mining, child labor, human rights abuses, and political instability in the region.
Why other options are wrong:
Argentina is a major player in Lithium production (part of South America's ""Lithium Triangle"").
Botswana is globally renowned for its high-value diamond mining.
Kazakhstan is the world's leading producer and exporter of Uranium.",economy
8,Which one of the following is a part of the Congo Basin?,"(a) Cameroon
(b) Nigeria
(c) South Sudan
(d) Uganda",A,"The direct answer: The correct answer is (a), Cameroon.
Geographical Context: The Congo Basin is the vast sedimentary basin of the Congo River in equatorial Central Africa. It hosts the world's second-largest continuous tropical rainforest, surpassed only by the Amazon .
Countries in the Basin: The Congo Basin spans across six primary African nations: Cameroon, Central African Republic (CAR), Democratic Republic of the Congo (DRC), Republic of the Congo, Equatorial Guinea, and Gabon.
Why other options are wrong:
Nigeria is located in West Africa and falls primarily under the Niger River basin.
South Sudan and Uganda are located in East/East-Central Africa and are primarily associated with the Nile River drainage system (White Nile).",geography
9,"Consider the following statements:

1. Amarkantak Hills are at the confluence of Vindhya and Sahyadri Ranges.

2. Biligirirangan Hills constitute the easternmost part of Satpura Range.

3. Seshachalam Hills constitute the southernmost part of Western Ghats.

 How many of the statements given above are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",D,"The direct answer: The correct answer is (d) because all three statements are incorrect.
Statement 1 is incorrect: The Amarkantak Hills are located in Madhya Pradesh and represent the meeting point (confluence) of the Vindhya and Satpura mountain ranges, not the Sahyadri (which is another name for the Western Ghats) . It is the origin point of rivers like Narmada and Son.
Statement 2 is incorrect: The Biligirirangan (BR) Hills are situated in Karnataka. They do not belong to the Satpura range in central India. Instead, they act as a vital ecological bridge connecting the Western Ghats and the Eastern Ghats.
Statement 3 is incorrect: The Seshachalam Hills are located in Andhra Pradesh and are a part of the Eastern Ghats, not the Western Ghats. (The southernmost part of the Western Ghats comprises the Cardamom Hills/Agasthyamalai region). Seshachalam was designated as the first Biosphere Reserve of Andhra Pradesh.",geography
10,"With reference to India's projects on connectivity, consider the
following statements:

1. East-West Corridor under Golden Quadrilateral Project connects Dibrugarh and Surat.

2. Trilateral Highway connects Moreh in Manipur and Chiang Mai in Thailand via Myanmar.

3. Bangladesh-China-India-Myanmar Economic Corridor connects Varanasi in Uttar Pradesh with Kunming in China. 

How many of the above statements are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",D,"The direct answer: The correct answer is (d) because all three statements are incorrect.
Statement 1 is incorrect: The East-West Corridor, part of the National Highways Development Project (NHDP), connects Silchar in Assam to Porbandar in Gujarat . It does not connect Dibrugarh and Surat.
Statement 2 is incorrect: The India-Myanmar-Thailand Trilateral Highway aims to enhance regional connectivity under the ""Act East"" policy. It connects Moreh in Manipur (India) with Mae Sot in Thailand, passing through Myanmar, not Chiang Mai.
Statement 3 is incorrect: The Bangladesh-China-India-Myanmar (BCIM) Economic Corridor is a proposed route that connects Kolkata in West Bengal (India) to Kunming in Yunnan province (China), passing through Bangladesh and Myanmar. It does not start from Varanasi.

## ",economy
