Q.No,2,Options,Answer,Explanation,Difficulty,TimePeriod,Sub- Topic
1,Which of the following features accurately characterizes the agricultural practices of the Indus Valley Civilization?,"(A) Extensive use of iron ploughshares for deep tilling.
(B) Cultivation of cotton as a major commercial crop.
(C) Widespread construction of large-scale canal networks for irrigation across all sites.
(D) Complete absence of animal domestication for agricultural use.",B,"Direct Answer: Option (B) is correct. The Indus Valley Civilization is credited with being one of the earliest to cultivate cotton, which they used extensively for textiles and trade.


Why the other options are wrong: Option (A) is wrong because iron was unknown to the Harappans (they used wooden ploughshares, as evidenced by terracotta models at Banawali). Option (C) is wrong because while well-irrigation was common, widespread large-scale canal networks were absent (Shortughai in Afghanistan is a rare exception). Option (D) is wrong because oxen and humped bulls were heavily domesticated for agricultural use and transport.


Core Concepts: Harappan agriculture relied heavily on the fertile floodplains of the Indus. They grew wheat, barley, mustard, and sesame, producing enough surplus to support heavily urbanized populations.


Peripheral Facts: The Greeks referred to cotton as Sindon, deriving the name from Sindh, highlighting the region's ancient monopoly and fame regarding this crop.",EASY,Ancient,"Prehistoric Period (Paleolithic Age)
"
2,"Which of the following Indus Valley Civilization sites is unique for having its town divided into three distinct parts?

","(A) Lothal
(B) Kalibangan
(C) Dholavira
(D) Surkotda
",C,"Direct Answer: Option (C) is correct. Dholavira is unique among Harappan sites as its city planning features three distinct divisions: the Citadel, the Middle Town, and the Lower Town.


Why the other options are wrong: Most major cities like Mohenjodaro and Kalibangan strictly followed a bipartite (two-part) division. Lothal and Surkotda lacked internal fortification walls separating their sections.


Core Concepts: Standard Harappan town planning placed premium administrative/religious buildings on a raised western Citadel, while the general populace resided in the lower eastern town.


Peripheral Facts: Dholavira is also renowned for its sophisticated water conservation systems, including large rock-cut reservoirs, and a unique signboard featuring large Harappan scripts.",EASY,Ancient,"Indus Valley Civilization"
3,"In the Later Vedic Period, the terms Shataman and Krishnala were primarily used to denote:

","(A) Agricultural tools
(B) Forced labour
(C) Coins used in the barter system
(D) Types of pottery
",C,"Direct Answer: Option (C) is correct. Shataman and Krishnala are terms found in Later Vedic texts referring to units of value or primitive coins used for exchange.


Why the other options are wrong: Forced labour was known as Vishti. Agricultural tools were referred to collectively using terms derived from Ayas (iron/metal). Pottery of the era was predominantly Painted Grey Ware (PGW).


Core Concepts: The Later Vedic period saw a gradual transition from a pure pastoral barter economy to an agricultural economy where rudimentary monetary units began facilitating complex trade.


Peripheral Facts: Despite these literary references to early coins, archaeologists have not found actual physical coins from this specific period; punch-marked coins appear slightly later during the Mahajanapada era.",EASY,Ancient,"Vedic Period (Economic History)"
4,"The 'Nasadiya Sukta', which deals with the philosophical origin of the universe, is found in which section of the Rig Veda?

","(A) 3rd Mandala
(B) 7th Mandala
(C) 9th Mandala
(D) 10th Mandala
",D,"Direct Answer: Option (D) is correct. The 10th Mandala of the Rig Veda contains the Nasadiya Sukta, a profound philosophical hymn questioning the origin of the universe.


Why the other options are wrong: The 3rd Mandala is famous for the Gayatri Mantra. The 7th Mandala details the Battle of Ten Kings. The 9th Mandala is uniquely dedicated entirely to the deity Soma.


Core Concepts: The Rig Veda is divided into 10 Mandalas. Books 2-7 are the oldest (family books), while Books 1 and 10 were added later, reflecting a shift from simple nature worship to complex societal and philosophical structures.


Peripheral Facts: The 10th Mandala also contains the Purush Sukta, which provides the first textual reference to the four-fold Varna system based on the cosmic sacrifice of the primeval man.",EASY,Ancient,"Vedic Literature"
5,"Who among the following is considered the founder of the Ajivika sect, which believed in strict predeterminism (Niyativaad)?

","(A) Pakudha Kaccayana
(B) Purana Kassapa
(C) Makhali Gosala
(D) Ajita Kesakambali",C,"Direct Answer: Option (C) is correct. Makhali Gosala founded the Ajivika sect, which was a major heterodox movement contemporary to Buddhism and Jainism.


Why the other options are wrong: Ajita Kesakambali is associated with the Charvaka (Lokayata) school of pure materialism. Purana Kassapa and Pakudha Kaccayana were other independent ascetic thinkers with different philosophies.


Core Concepts: The core tenet of the Ajivikas is Niyativaad (Predeterminism). They believed that the cycle of life, suffering, and joy is completely pre-ordained and cannot be altered by human effort or Karma.


Peripheral Facts: The sect enjoyed royal patronage from Mauryan emperors like Bindusara and Ashoka, who donated the Barabar caves to Ajivika monks for their ascetic practices.",EASY,Ancient,"Heterodox Sects (Ajivika Sect)"
6,"Which Mahajanapada's capital was Sravasti, located in the eastern Uttar Pradesh region?

","(A) Vatsa
(B) Kosala
(C) Malla
(D) Chedi",B,"Direct Answer: Option (B) is correct. Sravasti was the capital of the powerful Kosala Mahajanapada, situated in the eastern part of modern Uttar Pradesh.


Why the other options are wrong: The capital of Vatsa was Kausambi. The capital of Malla was Kusinara (famous for Buddha's Mahaparinirvana). The capital of Chedi was Sothivati.


Core Concepts: The 6th century BCE marked the Second Urbanization in India, characterized by the rise of 16 Mahajanapadas (great states) wielding territorial armies and utilizing iron weaponry.


Peripheral Facts: Kosala was a major rival to Magadha. It was eventually annexed by the Magadhan king Ajatashatru after a protracted war with the Kosalan king Prasenajit.",EASY,Ancient,Mahajanapadas
7,"During the Mauryan administration, the officer known as Samharta was responsible for:

","(A) Acting as the chief of the revenue department
(B) Managing the royal treasury
(C) Overseeing agricultural lands
(D) Administering criminal justice",A,"Direct Answer: Option (A) is correct. In the Mauryan administrative hierarchy, the Samharta was the highest official in charge of assessing and collecting state revenue from all sources.


Why the other options are wrong: The Sannidhata managed the royal treasury and storehouses. The Sitaadhyaksha specifically oversaw crown agricultural lands. The Pradeshtha was responsible for criminal justice.


Core Concepts: Mauryan governance was highly centralized. Kautilya's Arthashastra details an elaborate bureaucracy headed by 18 Tirthas (ministers) and multiple Adhyakshas (superintendents) to monitor the economy.


Peripheral Facts: Revenue was exacted from diverse sources including land (Bhaga), irrigation (Udakabhaga), tolls (Sulka), and even fines, highlighting a highly structured taxation system.",EASY,Ancient,"Mauryan Empire (Administration)"
8,"In the context of the Sangam Age, the terms Enadi and Vellalas refer to which of the following social categories respectively?","(A) Military captains and rich peasants
(B) Royal poets and maritime merchants
(C) Chola kings and religious priests
(D) Revenue officials and forced labourers",A,"Direct Answer: Option (A) is correct. In the Sangam socio-political structure, Enadi were military captains endowed with titles by the king, and Vellalas were the rich, dominant agricultural peasants.


Why the other options are wrong: Options (B), (C), and (D) mix up other societal roles. For instance, royal poets were known as Panar (bards), and priests or revenue officials held different specific titles depending on the Chera, Chola, or Pandyan kingdom.


Core Concepts: Sangam society was less rigidly defined by the North Indian Vedic Varna system. Instead, it was highly stratified by occupation and the geographical land division (Tinais) they inhabited.


Peripheral Facts: The Vellalas formed the absolute backbone of the state's economy and military. They often served in high administrative posts and even formed marital alliances with the royal dynasties.",EASY,Ancient,"Sangam Age (Literature)"
9,"Which Gupta ruler was given the title ""Napoleon of India"" by historian V.A. Smith due to his extensive military conquests?

","(A) Chandragupta I
(B) Chandragupta II
(C) Samudragupta
(D) Skandagupta
",C,"Direct Answer: Option (C) is correct. Samudragupta earned the moniker Napoleon of India from British historian V.A. Smith due to his aggressive and unbroken streak of military conquests.


Why the other options are wrong: Chandragupta I was the first imperial ruler but not the greatest conqueror. Chandragupta II focused on western expansion and marital alliances. Skandagupta is remembered for defensive victories against the Hunas.


Core Concepts: Samudragupta's military policy was twofold: Digvijaya (complete annexation) in the North, and Dharmavijaya (conquest and reinstatement as feudatories) in the South.


Peripheral Facts: His extensive campaigns and the kings he defeated are meticulously documented in the Prayag Prashasti (Allahabad Pillar inscription) composed by his court poet, Harisena.",EASY,Ancient,"Gupta Empire (Political History)"
10,"In ancient Indian administrative and economic terminology, Vishti refers to:

","(A) Land revenue paid in cash
(B) A tax levied on irrigation
(C) Forced labour demanded by the state
(D) A guild of local artisans
",C,"Direct Answer: Option (C) is correct. Vishti translates directly to forced, unpaid labour extracted by the state or feudal lords from peasants and artisans.


Why the other options are wrong: Cash payment for land revenue was known as Hiranya. Irrigation taxes were separate levies. Guilds of artisans were formally organized as Shrenis.


Core Concepts: Forced labour was a widely recognized and legal form of taxation in ancient India, documented in the Arthashastra and frequently utilized for public works, military logistics, and agricultural maintenance.


Peripheral Facts: The Junagadh Inscription of Rudradaman I boasts that he repaired the Sudarshana Lake using his own treasury, explicitly without resorting to oppressive Vishti on his subjects.",EASY,Ancient,"Ancient Indian Economic Terminology"
11,"Which of the following metals was the first to be used by humans in ancient India, marking the transition into the Chalcolithic Age?

","(A) Iron
(B) Bronze
(C) Copper
(D) Silver",C,"Direct Answer: Option (C) is correct. Copper was the first metal successfully smelted and utilized by humans, marking the dawn of the Chalcolithic (Stone-Copper) Age.


Why the other options are wrong: Bronze, an alloy of copper and tin, was developed later by the Harappans. Iron appeared around 1000 BCE during the Later Vedic period. Silver usage became prominent much later.


Core Concepts: The Chalcolithic phase represents a pivotal technological leap where communities combined stone tools with newly smelted copper tools, allowing for better forest clearance and agriculture.


Peripheral Facts: Major Chalcolithic sites in India include the Ahar-Banas culture in Rajasthan, which possessed rich copper ores and acted as a metallurgical hub for contemporary settlements.",EASY,Ancient,"Chalcolithic Age"
12,"According to recent archaeological research, which site provides the earliest evidence of rice agriculture in the Indian subcontinent?

","(A) Mehrgarh
(B) Lahuradev
(C) Koldihwa
(D) Burzahom",B,"Direct Answer: Option (B) is correct. Recent carbon dating at Lahuradev (in the Sant Kabir Nagar district of UP) has pushed back the earliest evidence of rice agriculture in the subcontinent to around 8000-9000 BCE.


Why the other options are wrong: Mehrgarh is an older famous site but primarily for wheat/barley. Koldihwa has early rice evidence but Lahuradev predates it. Burzahom is a Neolithic site known for pit dwellings, not the earliest agriculture.


Core Concepts: The Neolithic Revolution in India was not a uniform event but occurred independently in various regional pockets, transitioning communities from nomadic hunting to settled agricultural life.


Peripheral Facts: If Lahuradev is absent from the options in a standard exam, Mehrgarh remains the universally accepted default answer for the earliest agricultural settlement.",EASY,Ancient,"Prehistoric Period (Neolithic Age)"
13,"Consider the following pairs of Harappan sites and their corresponding rivers:
1. Harappa - Ravi

2. Mohenjodaro - Indus

3. Lothal - Bhogawa

4. Kalibangan - Ghaggar

How many of the pairs given above are correctly matched?

","(A) Only one
(B) Only two
(C) Only three
(D) All four",D,"Pair 1 is correct: Harappa is geographically located on the banks of the Ravi River. 

Pair 2 is correct: Mohenjodaro, the largest site, is situated on the banks of the Indus River. 

Pair 3 is correct: Lothal, the port city, is located along the Bhogawa River (a tributary of the Sabarmati). Pair 4 is correct: Kalibangan is located on the banks of the now-dried Ghaggar river system.

Core Concepts: Harappan cities were heavily river-dependent for agriculture, transport, and trade. The location dictated the city's economic function (e.g., Lothal as a naval dockyard).

Peripheral Facts: The shifting tectonic plates and subsequent drying up of river systems like the Saraswati (Ghaggar-Hakra) are widely theorized as a primary cause for the civilization's decline.",MEDIUM,Ancient," Indus Valley Civilization"
14,"Regarding the fundamental philosophical differences between early Buddhism and Jainism, which of the following statements is correct?
","(A) Jainism advocates for the existence of a permanent soul (Jiva) in all living and non-living entities, whereas Buddhism strictly denies the existence of a permanent soul (Anatta).
(B) Buddhism prescribes extreme asceticism and self-mortification to attain salvation, whereas Jainism advocates for the 'Middle Path'.
(C) Jainism believes that karma is purely a psychological illusion, whereas Buddhism considers karma as a physical substance clinging to the soul.
(D) Buddhism recognizes the authority of the Vedas in a limited spiritual capacity, whereas Jainism completely rejects them.",A,"Direct Answer: Option (A) is correct. A fundamental differentiator is that Jainism believes a permanent soul (Jiva) exists in all objects (including inanimate ones like stones and water), whereas Buddhism fundamentally rejects a permanent soul (Anatta or Anatman).


Why the other options are wrong: Option (B) is reversed: Jainism prescribes extreme penance and self-mortification, while Buddhism advocates the Middle Path. Option (C) is reversed: Jainism views Karma as fine physical matter sticking to the soul, whereas Buddhism views it mostly as intention or psychological action. Option (D) is wrong because both sects completely reject the authority of the Vedas.


Core Concepts: Both religions emerged as Nastika (heterodox) reactions to later Vedic ritualism and animal sacrifice. However, they diverged sharply on the metaphysical nature of existence, the rigors of ascetic practices, and the mechanics of Karma.


Peripheral Facts: The Buddhist doctrine of Anatta implies that rebirth occurs without the transmigration of a permanent soul, conceptually functioning like one flame lighting another flame, transferring energy but not substance.",MEDIUM,Ancient,"Heterodox Sects (Buddhism & Jainism)
"
15,"Match the following ancient literary works with their respective authors:
(Literature)                       (Author)
A. Malavikagnimitra     1. Shudraka
B. Mrichchhakatika      2. Vishakhadatta
C. Mudrarakshasa       3. Kalidasa
D. Brihatsamhita          4. Varahamihira

Select the correct answer:

","(A) A-3, B-1, C-2, D-4
(B) A-1, B-3, C-4, D-2
(C) A-3, B-2, C-1, D-4
(D) A-2, B-1, C-3, D-4",A,"Pair A-3 is correct: Malavikagnimitra is a romantic play authored by Kalidasa featuring the Sunga king Agnimitra. Pair B-1 is correct: Mrichchhakatika (The Little Clay Cart) was authored by Shudraka, distinct for featuring commoners instead of royalty. Pair C-2 is correct: Mudrarakshasa was written by Vishakhadatta, detailing the political maneuvering of Chanakya. Pair D-4 is correct: Brihatsamhita is an encyclopedic astronomical and architectural text by Varahamihira.


Core Concepts: The Gupta and Post-Gupta eras are considered the Golden Age of Sanskrit literature, shifting from purely religious texts to secular poetry, drama, and scientific treatises.


Peripheral Facts: Vishakhadatta also authored Devichandraguptam, a play describing how Chandragupta II rescued his sister-in-law Dhruvadevi from the Shakas.",MEDIUM,Ancient,"Ancient Indian Literature (Gupta & Post-Gupta Period)"
16,"Consider the following statements about the Satavahana dynasty:

1. They were the first native rulers in India to issue portrait coins and regularly issued gold coins.

2. Gautamiputra Satakarni revived their power and claimed to be the destroyer of the Shakas.

Which of the statements given above is/are correct?

","(A) 1 only
(B) 2 only
(C) Both 1 and 2
(D) Neither 1 nor 2",B,"Statement 1 is incorrect: While the Satavahanas were the first native dynasty to issue coins with royal portraits, they explicitly did not issue gold coins. Their currency was mostly lead, potin, copper, and silver. Statement 2 is correct: Gautamiputra Satakarni is celebrated for destroying the Shaka Kshaharata lineage (Nahapana), thereby reviving the waning fortunes of the Satavahana empire.


Core Concepts: The Satavahanas acted as a cultural bridge between the North and South. They maintained orthodox Brahmanical traditions while patronizing Buddhist rock-cut architecture.


Peripheral Facts: They were the first Indian rulers to start the practice of granting tax-free villages (Agraharas) to Brahmanas and Buddhist monks, laying the groundwork for Indian feudalism.",MEDIUM,Ancient," Post-Mauryan Period (Satavahana Dynasty)"
17,"Match the orthodox Indian philosophical schools with their core tenets/founders:
(Philosophy)                                       (Proponent; his ideas) 
A. Samkhya                              1. Gautama; relies on logical reasoning.
B. Nyaya                                   2. Patanjali; emphasizes physical/mental discipline.
C. Vaisheshika                          3. Kapila; dualistic philosophy of Purush and Prakriti.
D. Yoga                                     4. Kanada; focuses on the atomic theory of matter.

Select the correct answer:

","(A) A-3, B-1, C-4, D-2
(B) A-3, B-4, C-1, D-2
(C) A-2, B-1, C-4, D-3
(D) A-1, B-3, C-2, D-4",A,"Pair A-3 is correct: Samkhya, founded by Kapila, is a dualistic philosophy asserting reality is composed of Purusha (consciousness) and Prakriti (matter). 

Pair B-1 is correct: Nyaya, founded by Gautama, is the school of logic, emphasizing Pramanas (valid means of knowledge) to attain salvation. 

Pair C-4 is correct: Vaisheshika, founded by Kanada, postulates an atomic theory where all objects in the physical universe are reducible to Paramanu (atoms). 

Pair D-2 is correct: Yoga, systematized by Patanjali, focuses on physical postures and meditation to achieve liberation.

Core Concepts: These form four of the six orthodox (Astika) schools of Indian philosophy (Shad Darshana), all of which implicitly or explicitly accept the supreme authority of the Vedas.

Peripheral Facts: The remaining two schools are Purva Mimamsa (ritualistic interpretation, by Jaimini) and Uttara Mimamsa/Vedanta (philosophical essence, by Badarayana).",MEDIUM,Ancient,"Ancient Indian Philosophy (Shad Darshana)"
18," During the Gupta and Post-Gupta periods, the term Shreni was utilized to describe:

","(A) Military cantonments
(B) Guilds that facilitated the functioning of craftsmen and traders
(C) Religious endowments made to Brahmanas
(D) The lowest tier of the administrative district",B,"Direct Answer: Option (B) is correct. Shrenis were highly organized guilds of merchants, artisans, and craftsmen that dominated the urban economy.


Why the other options are wrong: Military cantonments were called Skandhavara. Land grants to Brahmanas were Brahmadeya. The lowest administrative tier was the Gram (village).


Core Concepts: Shrenis functioned as modern cooperatives and banks. They set wages, maintained quality standards, fixed prices, and accepted deposits from the public, paying regular interest.


Peripheral Facts: They possessed their own militia and judicial powers over their members. Inscriptions like the Mandasor inscription reveal that Shrenis even funded the construction and repair of grand Sun temples.",MEDIUM,Ancient,"Ancient Indian Economy (Guilds/Shrenis)"
