S.No,Question,Options,Answer,Explanation,Subject,Sub-Topic
1,"""Rapid Financing Instrument"" and ""Rapid Credit Facility"" are
related to the provisions of lending by which one of the
following?","(a) Asian Development Bank
(b) International Monetary Fund
(c) United Nations Environment Programme Finance Initiative
(d) World Bank",B,"Direct Answer & Concept: The Rapid Financing Instrument (RFI)
and the Rapid Credit Facility (RCF) are emergency lending
facilities operated by the International Monetary Fund
(IMF).

Detailed Breakdown:

RFI: Provides rapid and low-access financial assistance to
any member country facing an urgent balance of payments (BoP)
need, without the need to have a full-fledged macroeconomic
program in place.

RCF: Provides rapid concessional financial assistance
specifically to low-income countries (LICs) facing urgent BoP
needs. It is essentially the concessional equivalent of the
RFI.

Why other options are wrong: The World Bank focuses on
long-term developmental loans and poverty reduction. The Asian
Development Bank (ADB) focuses on regional infrastructure and
development. UNEP FI is a partnership between UNEP and the global
financial sector to mobilize private sector finance for
sustainable development, not a sovereign lending facility.

Exam Context: These instruments became highly relevant during
the COVID-19 pandemic when dozens of countries approached the IMF
for emergency funding.",Economy,Multilateral Institutions
2,"With reference to the Indian economy, consider the following
statements:

1.  An increase in Nominal Effective Exchange Rate (NEER) indicates the
appreciation of rupee.

2.  An increase in the Real Effective Exchange Rate (REER) indicates an
improvement in trade competitiveness.

3.  An increasing trend in domestic inflation relative to inflation in
other countries is likely to cause an increasing divergence
between NEER and REER.

Which of the above statements are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",C,"Statement 1 is Correct: NEER is the weighted average of
bilateral nominal exchange rates of the home currency against the
currencies of its major trading partners. An increase in NEER
implies that the home currency (Rupee) is strengthening or
appreciating against the basket of foreign currencies.

Statement 2 is Incorrect: REER is the NEER adjusted for
relative inflation (prices) between the home country and its
trading partners. An increase in REER means exports become more
expensive and imports become cheaper. Therefore, it indicates a
loss or deterioration in trade competitiveness, not an
improvement.

Statement 3 is Correct: The relationship is essentially
REER=NEER×(

ForeignInflation

DomesticInflation

​

). If domestic inflation is consistently higher than foreign
inflation, the ratio becomes greater than 1, causing REER to rise
faster than NEER. This continuous difference leads to a growing
divergence between the two indices over time.

UPSC Tip: Always associate an appreciating currency (higher
REER) with hurting exports (loss of competitiveness) and helping
imports.",Economy,International Economics
3,"With reference to the Indian economy, consider the following
statements:

1.  If the inflation is too high, Reserve Bank of India (RBI) is likely
to buy government securities.

2.  If the rupee is rapidly depreciating, RBI is likely to sell dollars
in the market.

3.  If interest rates in the USA or European Union were to fall, that
is likely to induce RBI to buy dollars.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",B,"Statement 1 is Incorrect: To combat high inflation, the central
bank implements a contractionary monetary policy to absorb excess
liquidity. Under Open Market Operations (OMOs), the RBI will
sell government securities to suck money out of the banking
system, not buy them. Buying securities injects cash and worsens
inflation.

Statement 2 is Correct: Rapid depreciation of the Rupee implies
excessive demand for dollars relative to rupees. To stabilize the
exchange rate, the RBI intervenes by selling dollars from its
forex reserves, thereby increasing dollar supply and curbing the
Rupee's fall.

Statement 3 is Correct: A fall in interest rates in developed
markets like the US or EU prompts foreign investors to seek higher
yields in emerging markets like India. This influx of foreign
capital (dollars) causes the Rupee to appreciate sharply. To
prevent export uncompetitiveness caused by an overly strong Rupee,
the RBI will buy the incoming dollars and add them to its
forex reserves.

UPSC Tip: Always link OMO sales with inflation control, and
forex interventions (buyingselling dollars) with exchange rate
stabilization.",Economy,Financial Markets
4,"With reference to the ""G20 Common Framework"", consider the
following statements:

1.  It is an initiative endorsed by the G20 together with the Paris
Club.

2.  It is an initiative to support Low Income Countries with
unsustainable debt.

Which of the statements given above isare correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",C,"Statement 1 is Correct: The ""Common Framework for Debt
Treatments beyond the DSSI"" is a landmark initiative announced in
November 2020. It was indeed endorsed by the G20 and the
Paris Club (an informal group of official creditors).

Statement 2 is Correct: The primary objective of the Common
Framework is to help Low-Income Countries (LICs) that are
facing insolvency and protracted liquidity problems (unsustainable
debt) restructure their debt. It aims to ensure fair
burden-sharing among all official bilateral and private
creditors.

Context: This framework was created because the pandemic
severely impacted the debt repayment capacity of poorer nations.
Countries like Chad, Ethiopia, and Zambia were among the first to
request debt treatment under this framework.

UPSC Edge: Remember that this framework specifically brings in
non-Paris club major creditors like China into a coordinated
debt-restructuring process, which was a significant geopolitical
and economic milestone.",Economy,Global Economic Governance
5,"With reference to the Indian economy, what are the advantages of
""Inflation-Indexed Bonds (IIBs)""?

1.  Government can reduce the coupon rates on its borrowing by way of
IIBs.

2.  IIBs provide protection to the investors from uncertainty regarding
inflation.

3.  The interest received as well as capital gains on IIBs are not
taxable.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",A,"Statement 1 is Correct: Inflation-Indexed Bonds (IIBs)
guarantee a real return by linking the principal and interest
payments to an inflation index (like WPI or CPI). Because the
investor is insured against inflation risk, they are willing to
accept a lower fixed coupon rate compared to nominal bonds.
This allows the government to lower its explicit borrowing
costs.

Statement 2 is Correct: The fundamental purpose of IIBs is to
hedge against inflation risk. If inflation rises unexpectedly, the
principal amount is adjusted upwards, meaning the investor's
purchasing power is protected from economic uncertainty.

Statement 3 is Incorrect: In India, both the interest income
and the capital gains generated from IIBs are fully taxable as
per the investor's applicable income tax slab rates. There are no
special tax exemptions provided for IIBs under the Income Tax
Act.

UPSC Tip: Unless explicitly mentioned as ""Tax-Free Bonds""
(usually issued by PSUs like NHAI, IRFC), assume government bonds
and their yields are subject to taxation.",Economy,Financial Markets
6,"With reference to foreign-owned e-commerce firms operating in India,
which of the following statements is/are correct?

1. They can sell their own goods in addition to offering their platforms as
market-places.

2. The degree to which they can own big sellers on their platforms is
limited.

Select the correct answer using the code given below:","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",D,"Direct Answer: Both statements are incorrect based on the Foreign Direct
Investment (FDI) policy on e-commerce in India.

Statement 1 is Incorrect: Foreign-owned e-commerce firms (like Amazon or
Flipkart) are only allowed to operate under the ""Marketplace model""
(providing an IT platform to act as a facilitator between buyer and
seller) with 100% FDI. They are strictly prohibited from operating an
""Inventory-based model"", meaning they cannot own the inventory or sell
their own goods directly to consumers on their platform.

Statement 2 is Incorrect: The degree of ownership is not ""limited""; it
is entirely restricted. According to the 2018 Press Note 2 by DPIIT, an
e-commerce marketplace entity or its group companies cannot hold any
equity stake (0%) in any of the sellers operating on their platform. If
they own equity in a seller, that seller is ineligible to sell on their
platform.

UPSC Context: These regulations were introduced to maintain a level
playing field for domestic brick-and-mortar MSME retailers and prevent
large foreign corporations from using deep discounts and preferential
treatment to dominate the Indian retail market.",Economy,Industrial Policy
7,"Which of the following activities constitute real sector in the
economy?

1. Farmers harvesting their crops

2. Textile mills converting raw cotton into fabrics

3. A commercial bank lending money to a trading company

4. A corporate body issuing Rupee Denominated Bonds overseas

Select the correct answer using the code given below","(a) 1 and 2 only
(b) 2, 3 and 4 only
(c) 1, 3 and 4 only
(d) 1, 2, 3 and 4",A,"Direct Answer: The Real Sector of an economy is concerned with the
actual production and consumption of physical goods and services. Hence,
harvesting crops (1) and manufacturing textiles (2) fall under it.

Core Concepts:

The Real Sector: Refers to economic activities that result in the
creation of tangible goods and non-financial services. It determines the
Gross Domestic Product (GDP), employment levels, and physical output.
Examples: Agriculture, Industry, Manufacturing, Trade.

The Financial Sector: Refers to the sector that deals with financial
assets, liabilities, monetary exchange, and credit generation. Its main
role is to channel funds from savers to borrowers (the real sector).
Examples: Banks, Stock Markets, Bond Markets.

Evaluating the Options:

Statement 1: Harvesting crops creates physical agricultural output (Real
Sector).

Statement 2: Converting cotton to fabric is industrial manufacturing
(Real Sector).

Statement 3: A bank lending money is credit creation (Financial Sector).

Statement 4: Issuing Rupee Denominated Bonds (Masala Bonds) is raising
financial capital (Financial Sector).

Conclusion: Only statements 1 and 2 constitute the real sector.",Economy,Economic development
8,"Which one of the following situations best reflects ""Indirect
Transfers"" often talked about in media recently with reference to
India?","(a) An Indian company investing in a foreign enterprise and paying taxes to the foreign country on the profits arising out of its investment
(b) A foreign company investing in India and paying taxes to the
(c) An Indian company purchases tangible assets in a foreign country
(d) A foreign company transfers shares and such shares derive their substantial value from assets located in India",D,"Direct Answer: ""Indirect Transfer"" refers to a situation where shares
of a foreign company are transferred (sold), but the underlying assets
that give those shares their substantial value are located in India.

The Context (The Vodafone Case): * The concept became famous during the
Vodafone-Hutchison tax dispute. Vodafone International Holdings (a Dutch
entity) bought a Cayman Islands-based company from Hutchison
Telecommunications.

Although the transaction happened outside India between two foreign
entities, the Cayman Islands company's primary asset was its 67% stake
in Hutchison Essar Limited, an Indian telecom company.

The Indian Income Tax Department argued that this was an ""indirect
transfer"" of Indian assets and demanded Capital Gains Tax.

Legislative Action: Following a Supreme Court ruling in Vodafone's
favor, the Indian Government controversially amended the Income Tax Act
in 2012 with retrospective effect to tax such indirect transfers.

Current Relevance: In 2021, the Government of India passed the Taxation
Laws (Amendment) Act to nullify this retrospective tax demand after
facing severe backlash and losing international arbitration cases to
Vodafone and Cairn Energy.",Economy ,Financial Markets
9,"With reference to the expenditure made by an organisation or a
company, which of the following statements isare correct?

1. Acquiring new technology is capital expenditure.

2. Debt financing is considered capital expenditure, while equity financing
is considered revenue expenditure.

Select the correct answer using the code given below:","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",A,"Statement 1 is Correct: Capital Expenditure (CapEx) refers to funds used
by a company to acquire, upgrade, and maintain physical or intangible
assets (like property, plants, buildings, technology, or equipment).
Acquiring new technology enhances the long-term earning capacity and
operational efficiency of the organization, making it a clear example of
capital expenditure.

Statement 2 is Incorrect: Debt financing (taking loans, issuing bonds)
and Equity financing (issuing shares) are methods of raising capital
(Sources of Funds), not methods of spending it (Application of
FundsExpenditure).

A company can raise money through debt and use it for day-to-day
operations (Revenue Expenditure) or use it to build a factory (Capital
Expenditure).

Therefore, it is fundamentally flawed to classify the source of the
funding (Debt or Equity) as either Capital or Revenue expenditure.

UPSC Tip: Always distinguish between the Balance Sheet side (where money
comes from: LiabilitiesEquity) and the AssetExpenditure side (where
money goes: CapExOpEx).",Economy,Macroeconomic Growth
10,"With reference to the Indian economy, consider the following
statements:

1. A share of the household financial savings goes towards government
borrowings.

2. Dated securities issued at market-related rates in auctions form a large
component of internal debt.

Which of the above statements is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",C,"Statement 1 is Correct: The household sector is the largest contributor
to gross savings in the Indian economy. When households save their money
in financial instruments like Bank Deposits, Provident Funds (PF), Small
Savings Schemes, and Insurance Companies, these institutions pool the
money. Regulations (such as the Statutory Liquidity Ratio - SLR for
banks) mandate that a significant portion of these pooled funds must be
invested in Government Securities (G-Secs). Thus, household financial
savings effectively finance the government's fiscal deficit.

Statement 2 is Correct: ""Internal debt"" refers to the money the
government borrows from within the country. The central government
finances the bulk of its gross fiscal deficit by issuing ""Dated
Securities"" (long-term bonds with a maturity of 1 to 40 years). These
securities are sold to institutional investors through auctions
conducted by the RBI at market-determined yield rates. Dated securities
constitute the single largest component (over 70%) of India's public
debt.

UPSC Tip: Understand the structure of Public Debt. Total Public Debt =
Internal Debt + External Debt. Internal Debt includes Dated Securities,
Treasury Bills (T-Bills), and Special Securities issued to RBIOthers.",Economy,Public finance
