Q.No,Question,Options,Answer,Explanation
1,"Consider the following statements:

Statement-I: The atmosphere is heated more by incoming solar radiation
than by terrestrial radiation.

Statement-II: Carbon dioxide and other greenhouse gases in the
atmosphere are good absorbers of long wave radiation.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",D,"Statement-I is incorrect: The Earth's atmosphere is primarily heated
from below by outgoing terrestrial radiation (long-wave) rather than
directly by incoming solar radiation (short-wave). The atmosphere is
largely transparent to the incoming short-wave solar radiation.

Statement-II is correct: Greenhouse gases like carbon dioxide, methane,
and water vapour are excellent absorbers of long-wave terrestrial
radiation emitted by the Earth's surface. This absorption traps heat in
the lower atmosphere, causing the greenhouse effect.

Since the first statement is false and the second is true, the correct
answer is (d). This principle is central to understanding global warming
and the Earth's heat budget mechanics in Geography."
2,"Consider the following:

Pyroclastic debris

Ash and dust

Nitrogen compounds

Sulphur compounds

How many of the above are products of volcanic eruptions?","(a) Only one
(b) Only two
(c) Only three
(d) All four",D,"The correct answer is (d) All four: Volcanic eruptions release a highly
complex mixture of solid, liquid, and gaseous materials into the
environment, not just molten lava.

Pyroclastic debris and ash: Explosive eruptions blast apart magma and
solid pre-existing rock, creating fragmented materials known as
pyroclastic debris, along with large plumes of fine volcanic ash and
dust.

Sulphur compounds: Volcanoes are significant natural sources of sulphur
compounds, particularly sulphur dioxide (SO2) and hydrogen sulphide
(H2S), which can lead to acid rain and short-term global cooling
effects.

Nitrogen compounds: While water vapour and carbon dioxide dominate
volcanic gas emissions, elemental nitrogen (N2) and trace amounts of
other nitrogen compounds are also routinely released during volcanic
outgassing. Thus, all four items listed are valid volcanic products."
3,"Consider the following statements:

Statement-I: Thickness of the troposphere at the equator is much greater
as compared to poles.

Statement-II: At the equator, heat is transported to great heights by
strong convectional currents.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",A,"Statement-I is correct: The troposphere is the lowest and most important
layer of the Earth's atmosphere for weather processes. Its average
thickness is about 8 km at the poles and expands up to 18 km at the
equator.

Statement-II is correct and explains Statement-I: The equator receives
maximum insolation throughout the year, leading to intense surface
heating. This intense heat causes the air to expand, become less dense,
and rise vigorously in the form of strong convectional currents.

These upward convection currents physically transport heat and moisture
to greater altitudes, pushing the tropopause (the upper boundary of the
troposphere) much higher at the equator than at the colder poles where
air subsides. Therefore, (a) is the correct answer."
4,"Which of the following is/are correct inference/inferences from
isothermal maps in the month of January?

The isotherms deviate to the north over the ocean and to the south over
the continent.

The presence of cold ocean currents, Gulf Stream and North Atlantic
Drift make the North Atlantic Ocean colder and the isotherms bend
towards the north.

 using the code given below:","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",A,"Statement 1 is correct: In January, the Northern Hemisphere experiences
winter. Landmasses cool down much faster than oceans due to lower
specific heat capacity. Consequently, oceans remain relatively warmer
than the adjacent landmasses at the same latitude. To connect points of
equal temperature, isotherms must dip south (towards the warmer equator)
over cold continents and bulge north (towards the colder poles) over
warm oceans.

Statement 2 is incorrect: The Gulf Stream and the North Atlantic Drift
are famously warm ocean currents, not cold currents.

While it is true that their warmth causes isotherms to bend northward
over the North Atlantic (because they keep the water abnormally warm for
that latitude), the premise of the statement identifying them as ""cold
ocean currents"" that make the ocean ""colder"" is factually wrong.
Therefore, only the first statement is a correct inference."
5,"Which of the following countries are well known as the two largest
cocoa producers in the world?","(a) Algeria and Morocco
(b) Botswana and Namibia
(c) Côte d'Ivoire and Ghana
(d) Madagascar and Mozambique",C,"The correct answer is (c): West Africa is the undisputed dominant region
for global cocoa bean production, which is the essential raw ingredient
for making chocolate.

Côte d'Ivoire and Ghana: Côte d'Ivoire (Ivory Coast) is the world's
leading producer of cocoa, followed closely by its direct neighbour,
Ghana. Together, these two nations account for well over 60% of the
entire world's cocoa supply.

Why other options are wrong: The cocoa tree (Theobroma cacao) requires a
strictly tropical climate with high temperatures, high humidity, and
abundant rainfall, typically found within 20 degrees of the equator.
Algeria and Morocco have arid/Mediterranean climates. Botswana and
Namibia are largely desert/semi-arid. Madagascar and Mozambique do
produce some agricultural goods (like world-class vanilla in
Madagascar), but they are far from being top cocoa producers globally."
6,"With reference to the Himalayan rivers joining the Ganga downstream
of Prayagraj from West to East

Which one of the following sequences is
correct?","(a) Ghaghara - Gomati - Gandak - Kosi
(b) Gomati - Ghaghara - Gandak - Kosi
(c) Ghaghara - Gomati - Kosi - Gandak
(d) Gomati - Ghaghara - Kosi - Gandak",B,"The correct sequence is (b): The Ganga river system is joined by several
major left-bank tributaries originating from the Himalayas as it flows
eastwards (downstream) from Prayagraj.

West to East alignment: Moving downstream from Prayagraj, the first
major tributary to join is the Gomati (near Varanasi, UP). Continuing
eastwards into Bihar, the Ghaghara joins the Ganga (near Chhapra).

Further east, the Gandak river merges with the Ganga (near
Hajipur/Patna). Finally, the Kosi river (infamous as the 'Sorrow of
Bihar') joins the Ganga even further east (near Bhagalpur/Katihar).

Therefore, the precise geographical sequence from West to East is
Gomati, followed by Ghaghara, Gandak, and Kosi. The other options
scramble this established hydrological order."
7,"Consider the following statements:

Statement-I : Rainfall is one of the reasons for weathering of rocks.

Statement-II: Rain water contains carbon dioxide in solution.

Statement-III: Rain water contains atmospheric oxygen.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-II and Statement-III are correct and both of them
explain Statement-I
(b) Both Statement-II and Statement-III are correct, but only one of
them explains Statement-I
(c) Only one of the Statements II and III is correct and that explains
Statement-I
(d) Neither Statement-II nor Statement-III is correct",A,"Statement-I is factually correct: Rainfall is indeed a primary agent of
both physical and chemical weathering of rocks on the Earth's surface.

Statements II & III are correct and act as explanations: As rain falls
through the atmosphere, it dissolves carbon dioxide gas, forming a weak
carbonic acid. This acidic water acts on minerals like calcium carbonate
in rocks (e.g., limestone), causing chemical weathering through a
process called carbonation.

Additionally, rainwater absorbs atmospheric oxygen. When this
oxygen-rich water interacts with iron-bearing minerals in rocks, it
triggers oxidation (similar to rusting), which weakens the rock
structure and makes it crumble.

Thus, the presence of both dissolved CO2 and O2 in rainwater directly
explains the mechanisms by which rainfall causes the chemical weathering
of rocks."
8,"Consider the following countries:

Finland

Germany

Norway

Russia

How many of the above countries have a border with the North Sea?","(a) Only one
(b) Only two
(c) Only three
(d) All four",B,"The correct answer is (b) Only two: The North Sea is a marginal sea of
the Atlantic Ocean located between Great Britain, Scandinavia, Germany,
the Netherlands, Belgium, and France.

Norway and Germany: Norway borders the North Sea to its east/northeast,
and Germany has a coastline along the southeastern edge of the North
Sea. Both are correct.

Finland and Russia: Neither Finland nor Russia borders the North Sea.
Both of these nations have extensive coastlines along the Baltic Sea,
not the North Sea (Russia also borders the Barents Sea/Arctic Ocean to
the far north).

Therefore, out of the four given options, only exactly two countries
share a border with the North Sea, making (b) the correct choice."
9,"Consider the following information:



In how many of the above rows is the given information correctly
matched?","(a) Only one
(b) Only two
(c) All three
(d) None",A,"Row 1 is incorrectly matched: While the Dhuandhar Falls is beautifully
formed by the Narmada River, its geographical location is in Bhedaghat,
Jabalpur. This area falls under the Mahakoshal region, not the Malwa
plateau (which encompasses cities like Indore and Ujjain).

Row 2 is correctly matched: The Hundru Falls is a famous waterfall
situated on the Subarnarekha River within the Chota Nagpur Plateau
region in the state of Jharkhand.

Row 3 is incorrectly matched: Gersoppa Falls, more popularly known as
Jog Falls, is indeed located in the Western Ghats. However, it is
created by the Sharavati River, not the Netravati River (both flow in
Karnataka, but are distinct river systems).

Since only one row (Hundru) matches the waterfall with both its correct
region and correct river, the answer is (a)."
10,"Consider the following information:

| Region | Name of the mountain range | Type of mountain |

|---|---|---|

| 1. Central Asia | Vosges | Fold mountain |

| 2. Europe | Alps | Block mountain |

| 3. North America | Appalachians | Fold mountain |

| 4. South America | Andes | Fold mountain |

In how many of the above rows is the given information correctly
matched?","(a) Only one
(b) Only two
(c) Only three
(d) All four",B,"Row 1 is incorrect: The Vosges mountains are not located in Central
Asia; they are in eastern France (Europe). Furthermore, they are a
classic textbook example of Block mountains formed by faulting, not fold
mountains.

Row 2 is incorrect: The Alps are indeed in Europe, but they are not
block mountains. They are prominent Young Fold mountains formed by the
collision of the African and Eurasian tectonic plates.

Rows 3 and 4 are correct: The Appalachians in North America are Old Fold
mountains, formed hundreds of millions of years ago. The Andes in South
America are the longest continental mountain range in the world and are
a prime example of Young Fold mountains created by the subduction of the
Nazca Plate.

As exactly two rows are factually accurate, the correct option is (b)."
11,"Consider the following airports:

1.  Donyi Polo Airport

2.  Kushinagar International Airport

3.  Vijayawada International Airport 

In the recent past, which of the  above have been constructed as Greenfield projects? ","(a) 1 and 2only 
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",A,"-   **The correct answer is (a) 1 and 2 only:** A 'Greenfield' airport
     is built from scratch on a new, undeveloped piece of land, whereas
     a 'Brownfield' project involves upgrading or expanding an
     already existing airport infrastructure.

-   **Donyi Polo and Kushinagar:** The Donyi Polo Airport in Itanagar
     (Arunachal Pradesh) and the Kushinagar International Airport in
     Uttar Pradesh were recently constructed completely from scratch,
     classifying them as greenfield projects.

-   **Vijayawada Airport:** The Vijayawada International Airport in
     Andhra Pradesh is a brownfield project. It was developed by
     expanding an existing World War II-era airfield. Thus, statement 3
     is incorrect."
12,"With reference to ""water vapour"", which of the following
statements is/are correct?

1.  It is a gas, the amount of which decreases with altitude.

2.  Its percentage is maximum at the poles.

 Select the correct answer using the code given below:","(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",A,"-   **Statement 1 is correct:** Water vapour is a highly variable gas in
     the Earth's atmosphere. Because the moisture source (oceans,
     land) is at the surface and temperatures generally decrease with
     altitude in the troposphere, the concentration of water vapour
     decreases rapidly as you go higher up.

-   **Statement 2 is incorrect:** The capacity of air to hold moisture
     is directly proportional to its temperature. Because the equator
     is warm, the air there can hold a maximum percentage of water
     vapour (up to 4% by volume). Conversely, the freezing air at the
     poles holds very little moisture (often less than 1%), making its
     percentage minimal at the poles.

-   Therefore, only the first statement accurately reflects geographic
     and climatological facts."
13,"Consider the following description:

1.  Annual and daily range of temperatures is low.

2.  Precipitation occurs throughout the year.

3.  Precipitation varies between 50 cm-250 cm. 

What is this type of climate? ","(a) Equatorial climate 
(b) China type climate 
(c) Humid subtropical climate
(d) Marine West coast climate",D,"-   **Marine West Coast Climate (British Type):** This climate is
     typically found along the western coasts of continents between 40°
     and 65° latitudes.

-   The constant oceanic influence from warm ocean currents keeps the
     climate extremely mild, resulting in a distinctively low annual
     and daily range of temperatures.

-   This region falls under the permanent influence of Westerlies, which
     bring moisture-laden winds from the ocean onshore all year round.
     Precipitation ranges from 50 cm to 250 cm annually, fitting the
     description perfectly.

-   **Why others are wrong:** Equatorial climate also receives
     year-round precipitation, but it usually exceeds 250 cm and is
     characterized by intense convectional rainfall. China type and
     Humid Subtropical climates have distinct dry/wet seasonality
     (summer maximum) and larger temperature ranges."
14,"With reference to ""Coriolis force"", which of the following
statements is/are correct?

1.  It increases with increase in wind velocity.

2.  It is maximum at the poles and is absent at the equator. 

Select the answer using the code given below ","(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",C,"-   **Statement 1 is correct:** The Coriolis force is an apparent force
     caused by the Earth's rotation that deflects moving objects (like
     wind). The magnitude of the Coriolis force is directly
     proportional to the wind velocity ($v$). The faster the wind
     blows, the stronger the Coriolis deflection it experiences.

-   **Statement 2 is correct:** The mathematical formula for Coriolis
     force includes the sine of the latitude ($sin phi$). At the
     equator (latitude $0^circ$), $sin(0) = 0$, meaning the
     Coriolis force is completely absent. At the poles (latitude
     $90^circ$), $sin(90) = 1$, which is its maximum value.

-   This is a fundamental concept in atmospheric circulation and
     explains why tropical cyclones do not form precisely on the
     equator. Therefore, both statements are correct."
15,"On June 21 every year, which of the following latitude(s)
experience(s) a sunlight of more than 12 hours?

1.  Equator

2.  Tropic of Cancer

3.  Tropic of Capricorn

4.  Arctic Circle

Select the correct answer using the code given below:","(a) 1 only
(b) 2 only
(c) 3 and 4
(d) 2 and 4",D,"-   **Summer Solstice Mechanics:** On June 21, the Northern Hemisphere
     tilts towards the sun (Summer Solstice), and the sun's direct
     rays fall exactly on the Tropic of Cancer.

-   **The Equator:** Regardless of the season, the equator always
     experiences exactly 12 hours of daylight and 12 hours of darkness.
     The question specifies *more* than 12 hours.

-   **Tropic of Cancer:** Located in the Northern Hemisphere, it
     experiences its longest day of the year on this date, enjoying
     roughly 13.5 hours of daylight.

-   **Arctic Circle:** At $66.5^circ$ N and further north up to the
     pole, the sun never sets below the horizon on this day, resulting
     in 24 hours of continuous daylight (the Midnight Sun phenomenon).

-   **Tropic of Capricorn:** Located in the Southern Hemisphere, it
     experiences its shortest day of the year (winter), meaning
     sunlight is significantly less than 12 hours. Thus, 2 and 4 are
     correct."
16,"One of the following regions has the world's largest tropical
peatland, which holds about three years worth of global carbon emissions
from fossil fuels; and the possible destruction of which can exert
detrimental effect on the global climate. 

Which one of the following denotes that region?","(a) Amazon Basin
(b) Congo Basin
(c) Kikori Basin
(d) Rio de la Plata Basin",B,"-   **The correct answer is (b) Congo Basin:** The Cuvette Centrale
     peatlands, located deep within the Congo Basin in central Africa,
     were fully mapped relatively recently and confirmed to be the
     world's largest continuous tropical peatland complex.

-   **Massive Carbon Sink:** This waterlogged ecosystem stores an
     astonishing amount of carbon---estimated at around 30 billion
     metric tons. This is indeed roughly equivalent to three years of
     total global greenhouse gas emissions from fossil fuels.

-   **Current Threat:** It is a vital buffer against climate change.
     However, it is currently threatened by logging, agricultural
     expansion, and proposed oil drilling. If drained or destroyed, the
     massive release of trapped carbon would be a climate catastrophe."
17,"With reference to perfluoroalkyl and polyfluoroalkyl substances
(PFAS) that are used in making many consumer products, consider the
following statements:

1.  PFAS are found to be widespread in drinking water, food and food
     packaging materials.

2.  PFAS are not easily degraded in the environment.

3.  Persistent exposure to PFAS can lead to bioaccumulation in animal
     bodies.

    Which of the statements given above are correct?

","(a) 1 and 2 only

 (b) 2 and 3 only

 (c) 1 and 3 only

 (d) 1, 2 and 3",D,"-   **Statement 1 is correct:** PFAS are ubiquitous synthetic chemicals
     used extensively for their water-, grease-, and stain-resistant
     properties. They are heavily utilized in non-stick cookware,
     stain-resistant fabrics, and food packaging materials.
     Consequently, they routinely leach into municipal drinking water
     supplies and food chains globally.

-   **Statement 2 is correct:** Popularly dubbed ""Forever Chemicals,""
     PFAS molecules contain incredibly strong carbon-fluorine bonds.
     These bonds grant them thermal and chemical stability, meaning
     they resist normal environmental degradation processes (like
     sunlight or microbial breakdown).

-   **Statement 3 is correct:** Because they do not break down and are
     difficult for biological systems to excrete, prolonged exposure
     allows PFAS to build up over time in the blood and organs of
     humans and wildlife, a hazardous biological process known as
     bioaccumulation. Therefore, all statements are correct."
18,"Consider the following:

1.  Carabid beetles

2.  Centipedes

3.  Flies

4.  Termites

5.  Wasps

Parasitoid species are found in how many of the above kind of organisms?
","(a) Only two

 (b) Only three

 (c) Only four

 (d) All five",B,"-   **What is a Parasitoid?** A parasitoid is an organism that spends a
     significant portion of its life history attached to or within a
     single host organism in a relationship that is essentially
     parasitic; however, unlike a true parasite, it ultimately
     sterilizes or kills, and often consumes, the host.

-   **Wasps, Flies, and Beetles:** The vast majority of known
     parasitoids belong to the insect orders Hymenoptera (wasps) and
     Diptera (flies). Additionally, certain specialized families within
     the order Coleoptera (beetles), including some Carabid beetles,
     are known to exhibit parasitoid behaviour during their larval
     stages.

-   **Termites and Centipedes:** Termites are social insects that feed
     on dead plant material and cellulose; none are parasitoids.
     Centipedes are highly mobile, venomous arthropod predators that
     actively hunt their prey, not parasitoids.

-   Therefore, parasitoid species are found in exactly three of the
     listed groups."
19,"Consider the following plants :

1.  Groundnut

2.  Horse-gram

3.  Soybean

 How many of the above belong to the pea family?

 (a) Only one

 (b) Only two

 (c) All three

 (d) None","(a) Only one

 (b) Only two

 (c) All three

 (d) None",C,"-   **The Pea Family (Fabaceae):** The pea family, scientifically known
     as Fabaceae or Leguminosae, is the third-largest plant family.
     Plants in this family are typically legumes, renowned for their
     agricultural importance and their symbiotic ability to fix
     atmospheric nitrogen using root nodules.

-   **Groundnut:** Also known as peanuts, they are unique legumes where
     the pods mature underground, firmly placing them in the Fabaceae
     family.

-   **Horse-gram:** This is a highly resilient legume pulse crop
     extensively grown in dry agricultural regions of India. Like all
     true pulses, it is a member of the pea family.

-   **Soybean:** A globally significant legume grown for its edible
     bean, which has numerous uses including oil extraction and protein
     generation. It also belongs to the Fabaceae family.

-   Therefore, all three plants listed belong to the pea family."
20,"Consider the following statements:

Statement-I: The Indian Flying Fox is placed under the ""vermin""
category in the Wild Life (Protection) Act, 1972.

Statement-II: The Indian Flying Fox feeds on the blood of other animals.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct

Answer: X",,"-   **Note:** This question was dropped from the final evaluation by
     UPSC (marked as 'X' in the official answer key) because both
     statements are fundamentally incorrect, and no corresponding
     option was provided.

-   **Statement-I is incorrect:** Historically, fruit bats were listed
     in Schedule V (Vermin) of the original Wild Life (Protection) Act
     of 1972. However, the sweeping Wild Life (Protection) Amendment
     Act, 2022 completely overhauled the schedules. Schedule V was
     abolished entirely, meaning the Indian Flying Fox is no longer
     statutorily categorized as vermin under a dedicated schedule.

-   **Statement-II is incorrect:** The Indian Flying Fox (*Pteropus
     medius*) is a megabat. As its classification implies, it is
     strictly frugivorous and nectarivorous---meaning it exclusively
     eats fruits and nectar. It absolutely does not drink blood. The
     only bats that consume blood are Vampire bats, which are endemic
     to the Americas and do not exist in India.

-   Because both statements are false, the question lacked a valid
     option and was subsequently dropped.

Gemini said"
21,"The organisms ""Cicada, Froghopper and Pond skater"" are:","(a) Birds
(b) Fish
(c) Insects
(d) Reptiles",C,"The correct answer is (c) Insects: Cicadas, froghoppers, and pond
skaters are all arthropods belonging to the class Insecta, specifically
falling under the order Hemiptera (true bugs).

Cicadas: They are prominent insects globally recognized for their
exceptionally loud mating calls produced by males using vibrating
tymbals on their abdomens.

Froghoppers: Also known as spittlebugs, they are best known for their
plant-sucking nymphs which encase themselves in a protective mass of
froth or ""spittle."" They are also extraordinary jumpers.

Pond Skaters: Commonly referred to as water striders, these are
predatory insects anatomically adapted to walk or skate on the surface
of calm water bodies by exploiting water's surface tension.

This question tests basic zoological classification commonly covered in
foundational environment and biodiversity studies."
